"","CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CYCLE","SUBCYCLE","AGECHKCD_RMRS","AGE_DETERMINATION_METHOD_PNWRS","CCLCD_RMRS","DAMAGE_AGENT_CD1_RMRS","DAMAGE_AGENT_CD2_RMRS","DAMAGE_AGENT_CD3_RMRS","SIBASE_AGE_PNWRS","SITETRCD_RMRS","SITE_AGE_TREE_STATUS_PNWRS","SITE_AGE_TREE_TYPE_PNWRS","SITE_TREE_METHOD_PNWRS","SITREE_EQU_NO_PNWRS","TREECLCD_RMRS","TREE_ACT_RMRS","YEAR_AGE_TAKEN","SIEQN_REF_CD","SITREE_FVS","SIBASE_FVS","SIEQN_REF_CD_FVS"
"25",54670070010661,54670048010661,NA,2000,26,2,53,20127,2,1,746,5.8,60,30,37,75,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",54670068010661,54670048010661,NA,2000,26,2,53,20127,1,2,746,7.2,67,28,37,86,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",54670066010661,54670048010661,NA,2000,26,2,53,20127,1,1,746,5.8,60,30,37,75,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",54559024010661,54559017010661,NA,2000,26,3,7,20206,1,2,746,4.7,42,19,37,73,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",54559023010661,54559017010661,NA,2000,26,3,7,20206,1,1,12,7.1,41,44,6,38,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",54750437010661,54750407010661,NA,2000,26,2,71,20066,1,2,12,9.6,46,39,6,47,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",54750434010661,54750407010661,NA,2000,26,2,71,20066,1,1,12,10,46,40,6,46,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",54759788010661,54759769010661,NA,2000,26,2,71,20413,1,4,12,7.3,36,43,6,33,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",54760584010661,54760554010661,NA,2000,26,2,71,20351,2,4,746,3.8,42,16,37,81,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",54760578010661,54760554010661,NA,2000,26,2,71,20351,2,3,746,3.4,44,13,37,93,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",54760576010661,54760554010661,NA,2000,26,2,71,20351,1,2,12,11.1,52,44,6,49,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",54760574010661,54760554010661,NA,2000,26,2,71,20351,1,1,12,13,60,53,6,51,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",54761966010661,54761941010661,NA,2000,26,2,71,20083,2,2,746,11.3,56,33,37,67,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",54761963010661,54761941010661,NA,2000,26,2,71,20083,1,1,746,5.5,35,21,37,61,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",54767276010661,54767258010661,NA,2000,26,2,71,20545,1,2,12,9.2,58,60,6,47,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",54767272010661,54767258010661,NA,2000,26,2,71,20545,1,1,12,9.3,61,41,6,61,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",54814785010661,54814762010661,NA,2000,26,2,83,20086,2,2,12,7.7,51,106,6,32,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",54588725010661,54588716010661,NA,2000,26,3,31,20149,2,2,12,3.7,22,22,6,30,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",54588724010661,54588716010661,NA,2000,26,3,31,20149,2,1,12,5.3,28,20,6,43,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",54589170010661,54589163010661,NA,2000,26,3,31,20255,1,2,12,12,68,74,6,50,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",54589169010661,54589163010661,NA,2000,26,3,31,20255,1,1,12,8.5,57,64,6,44,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",54750706010661,54750690010661,NA,2000,26,2,71,20242,1,2,746,6.4,52,39,37,57,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",54615500010661,54615485010661,NA,2000,26,3,39,20202,2,1,746,9,52,60,37,45,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",54624271010661,54624244010661,NA,2000,26,1,41,20370,2,4,12,5.3,46,53,6,39,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",54624266010661,54624244010661,NA,2000,26,1,41,20370,1,2,12,6.7,47,50,6,41,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",62194254010661,62194221010661,NA,2000,26,1,153,20507,1,2,12,10.1,67,63,6,53,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",62194251010661,62194221010661,NA,2000,26,1,153,20507,1,1,746,11.6,70,43,37,72,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",62199412010661,62199367010661,NA,2000,26,1,153,20517,1,2,746,2.8,25,12,37,68,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",62199403010661,62199367010661,NA,2000,26,1,153,20517,1,1,746,3,21,13,37,60,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",62254118010661,62254063010661,NA,2000,26,4,157,20210,1,1,746,11.5,69,30,37,86,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",54709268010661,54709240010661,NA,2000,26,2,61,29037,2,1,746,11.6,58,54,37,53,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",54712202010661,54712167010661,NA,2000,26,2,61,20034,2,1,746,8.5,49,30,37,63,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",54712196010661,54712167010661,NA,2000,26,2,61,20034,1,1,746,8.5,49,30,37,63,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",54666479010661,54666465010661,NA,2000,26,3,51,20152,2,2,746,14,86,55,37,80,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",54666477010661,54666465010661,NA,2000,26,3,51,20152,2,1,746,13.3,89,54,37,84,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",54624264010661,54624244010661,NA,2000,26,1,41,20370,1,1,12,5.6,44,58,6,35,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",54820997010661,54820973010661,NA,2000,26,3,85,20055,1,2,746,10.2,76,46,37,76,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62227216010661,62227151010661,NA,2000,26,3,165,20260,3,2,12,9.2,53,37,6,56,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",62227200010661,62227151010661,NA,2000,26,3,165,20260,1,1,746,NA,NA,NA,37,67,50,NA,NA,NA,3,67,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",54604838010661,54604831010661,NA,2000,26,3,35,20062,1,2,746,9.1,51,27,37,69,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",54604837010661,54604831010661,NA,2000,26,3,35,20062,1,1,746,7.8,50,27,37,68,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",54725269010661,54725253010661,NA,2000,26,4,63,20072,1,2,746,10.3,64,37,37,72,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",54725267010661,54725253010661,NA,2000,26,4,63,20072,1,1,746,5.2,32,18,37,63,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",54791403010661,54791386010661,NA,2000,26,3,79,20129,1,2,746,7.5,48,46,37,48,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",54791401010661,54791386010661,NA,2000,26,3,79,20129,1,1,746,7.9,49,40,37,53,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",54677513010661,54677498010661,NA,2000,26,2,53,20249,1,2,12,5.3,36,79,6,24,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",54678931010661,54678915010661,NA,2000,26,2,53,20352,2,2,12,6.8,40,36,6,42,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",54678930010661,54678915010661,NA,2000,26,2,53,20352,2,1,12,6.8,32,34,6,34,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",54702016010661,54702004010661,NA,2000,26,2,61,20169,1,2,746,13.3,71,66,37,60,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",54907380010661,54907360010661,NA,2000,26,1,97,20321,1,1,12,6.9,40,28,6,50,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",54907561010661,54907540010661,NA,2000,26,1,97,20172,1,1,746,12,81,65,37,70,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",54793373010661,54793347010661,NA,2000,26,3,79,20044,1,2,12,8,40,89,6,26,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",54542734010661,54542720010661,NA,2000,26,3,1,20007,3,3,746,2.5,28,15,37,66,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",54542732010661,54542720010661,NA,2000,26,3,1,20007,2,3,746,2.5,28,15,37,66,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",54953689010661,54953653010661,NA,2000,26,3,101,20073,1,2,746,7.9,45,29,37,60,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",55345490010661,55345460010661,NA,2000,26,3,141,20187,1,1,12,5,32,32,6,36,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",55364708010661,55364685010661,NA,2000,26,3,143,20103,1,1,746,NA,NA,NA,37,67,50,NA,NA,NA,3,67,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",54590815010661,54590804010661,NA,2000,26,3,31,20166,2,2,12,8.4,58,46,6,54,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",54590814010661,54590804010661,NA,2000,26,3,31,20166,2,1,12,7.3,40,37,6,41,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",54590813010661,54590804010661,NA,2000,26,3,31,20166,1,2,12,8.4,58,46,6,54,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",54590812010661,54590804010661,NA,2000,26,3,31,20166,1,1,12,7.3,40,37,6,41,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",54591118010661,54591109010661,NA,2000,26,3,31,20283,1,2,12,6.7,44,50,6,38,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",54819841010661,54819814010661,NA,2000,26,2,83,20358,2,1,12,7.6,50,33,6,57,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",54819835010661,54819814010661,NA,2000,26,2,83,20358,1,1,12,7.6,50,33,6,57,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",54803704010661,54803676010661,NA,2000,26,4,81,20203,1,4,746,5.1,34,20,37,61,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",54803699010661,54803676010661,NA,2000,26,4,81,20203,1,3,746,4.9,36,18,37,68,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",55320853010661,55320809010661,NA,2000,26,3,137,20104,2,3,12,NA,NA,NA,6,43,50,NA,NA,NA,3,43,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",54623229010661,54623215010661,NA,2000,26,1,41,20250,1,2,746,2.6,33,13,37,77,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",54630800010661,54630789010661,NA,2000,26,1,41,29062,1,1,746,6.8,45,39,37,50,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",54633526010661,54633516010661,NA,2000,26,1,41,20410,1,1,746,4.7,36,21,37,62,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",54634368010661,54634358010661,NA,2000,26,1,41,20415,1,1,12,7.6,49,35,6,53,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",55350053010661,55350002010661,NA,2000,26,3,141,20143,3,5,746,6.8,54,36,37,62,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",55350050010661,55350002010661,NA,2000,26,3,141,20143,3,4,746,5.5,49,29,37,64,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",55350048010661,55350002010661,NA,2000,26,3,141,20143,2,4,746,5.5,49,29,37,64,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",54685321010661,54685300010661,NA,2000,26,2,53,20028,2,1041,746,NA,79,52,37,75,50,NA,NA,NA,2,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",54689174010661,54689157010661,NA,2000,26,2,53,20122,1,2,746,10.4,84,58,37,76,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",54689171010661,54689157010661,NA,2000,26,2,53,20122,1,1,12,9.2,45,47,6,40,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",54689738010661,54689726010661,NA,2000,26,2,53,20162,1,2,12,10.3,69,58,6,57,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",55415491010661,55415466010661,NA,2000,26,1,153,29029,1,2,12,10.7,59,61,6,47,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
